,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Jamestown,US,75.06,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
8,Butaritari,KI,81.63,broken clouds,3.0707,172.7902,Isles Sunset Lodge
14,Kieta,PG,77.63,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
19,Kavieng,PG,81.7,broken clouds,-2.5744,150.7967,Nusa Island Retreat
20,Jalu,LY,83.46,clear sky,29.0331,21.5482,صاحبة الفخامة
21,Gizo,SB,81.23,scattered clouds,-8.103,156.8419,Imagination Island
25,Ormara,PK,80.67,clear sky,25.2088,64.6357,Kenara Colony House for Rent
26,Marang,MY,78.69,overcast clouds,5.2056,103.2059,DBarakah Homestay
35,Ko Samui,TH,82.15,light rain,9.5357,99.9357,The Passage
40,Kapaa,US,79.11,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
52,Lorengau,PG,80.38,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
59,Ponta Do Sol,PT,80.01,few clouds,32.6667,-17.1,Hotel do Campo
60,Alghero,IT,80.69,scattered clouds,40.5589,8.3181,Smy Carlos V Alghero
61,Jackson,US,77.14,clear sky,42.4165,-122.8345,Agate Village Apartments
62,Atuona,PF,75.99,light rain,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
64,Ocala,US,77.94,moderate rain,29.1872,-82.1401,Shangri La Motel
73,Gummidipundi,IN,82.4,overcast clouds,13.4,80.15,Le Raj Courtyard
81,Maceio,BR,80.04,scattered clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
84,Arraial Do Cabo,BR,75.06,clear sky,-22.9661,-42.0278,Pousada Porto Praia
89,Shingu,JP,76.78,moderate rain,33.7333,135.9833,Shingu UI Hotel
92,Guerrero Negro,MX,81.23,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
95,Touros,BR,81.28,clear sky,-5.1989,-35.4608,INN NEW HORIZON
96,Marsh Harbour,BS,84.25,few clouds,26.5412,-77.0636,Abaco Beach Resort
100,Komsomolskiy,UZ,75.92,clear sky,40.4272,71.7189,Ikathouse
103,The Valley,AI,83.07,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
106,Sarh,TD,75.02,light rain,9.1429,18.3923,Domicile 1sur le goudron
110,Belmonte,BR,75.22,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
114,Bengkulu,ID,76.28,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
117,Hilo,US,80.62,haze,19.7297,-155.09,Hilo Hawaiian Hotel
118,Eydhafushi,MV,80.64,overcast clouds,5.1033,73.0708,Soneva Fushi
119,Bafq,IR,85.32,clear sky,31.6128,55.4107,Alamdar Hotel
121,Zorritos,PE,77.29,few clouds,-3.6805,-80.6782,Hotel Pinamar
124,Omboue,GA,75.87,broken clouds,-1.5746,9.2618,Hotel Olako
128,Guane,CU,86.65,broken clouds,22.2025,-84.0875,base de Campismo LosPortales de Guane
129,Chateaubelair,VC,83.43,broken clouds,13.2833,-61.25,Richmond Vale Diving & Hiking Center
131,Bethel,US,79.57,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
134,Georgetown,MY,79.9,few clouds,5.4112,100.3354,Cititel Penang
138,Oranjestad,AW,83.98,overcast clouds,12.524,-70.027,Divi Village Golf & Beach Resort
139,Darnah,LY,76.12,clear sky,32.767,22.6367,فندق الفردوس
141,Pascagoula,US,88.52,broken clouds,30.3658,-88.5561,Regency Inn
144,Praia Da Vitoria,PT,79.75,scattered clouds,38.7333,-27.0667,Hotel Branco I
147,Namatanai,PG,79.12,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
148,Malanje,AO,83.07,scattered clouds,-9.5402,16.341,Hotel Ginga
151,Big Rapids,US,82.09,clear sky,43.6981,-85.4837,"Holiday Inn Big Rapids, an IHG Hotel"
154,Castro,BR,76.01,scattered clouds,-24.7911,-50.0119,CHACARA BAILLY
155,Santiago Del Estero,AR,80.91,broken clouds,-27.7951,-64.2615,Apartamentos Castelli 90
156,Nusaybin,TR,78.39,clear sky,37.0778,41.2178,Aydinlar Hotel
160,Vila Velha,BR,78.75,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
162,Port-Gentil,GA,76.96,scattered clouds,-0.7193,8.7815,Fengshui Residence
165,Bakel,SN,88.32,overcast clouds,14.905,-12.4568,Ablaye Diallo Bakel
166,Praxedis Guerrero,MX,85.46,overcast clouds,31.3667,-106.0167,Congregación placitas de Otero
168,Makakilo City,US,79.12,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
170,Sai Buri,TH,78.17,overcast clouds,6.7013,101.6168,สวนป่ารีสอร์ท
174,Ventanas,EC,85.68,overcast clouds,-1.45,-79.4667,Hotel Kalabi INN
