City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,Thompson,55.7435,-97.8558,73.56,33,40,11.5,CA,scattered clouds
1,Concepcion,-36.827,-73.0498,51.6,62,100,14.97,CL,overcast clouds
2,Atuona,-9.8,-139.0333,76.8,81,29,28.16,PF,light rain
3,Bushehr,28.9684,50.8385,91.15,62,0,0.92,IR,clear sky
4,Jamestown,42.097,-79.2353,70.02,74,100,10.36,US,overcast clouds
5,Busselton,-33.65,115.3333,47.44,84,83,5.46,AU,broken clouds
6,Severo-Kurilsk,50.6789,156.125,57.11,92,100,17.74,RU,light rain
7,Mataura,-46.1927,168.8643,44.47,92,95,1.92,NZ,overcast clouds
8,Qaanaaq,77.484,-69.3632,33.49,83,80,1.39,GL,broken clouds
9,Omsukchan,62.5333,155.8,40.03,91,100,6.69,RU,overcast clouds
10,Skibbereen,51.55,-9.2667,60.12,93,68,7.43,IE,broken clouds
11,Cape Town,-33.9258,18.4232,57.9,86,0,14.0,ZA,clear sky
12,Meulaboh,4.1363,96.1285,74.03,89,100,5.75,ID,overcast clouds
13,Vaini,-21.2,-175.2,78.96,89,20,6.91,TO,few clouds
14,Alekseyevka,50.6309,38.6903,47.03,55,63,6.93,RU,broken clouds
15,Catuday,16.2923,119.8062,79.77,83,74,3.29,PH,broken clouds
16,Klaksvik,62.2266,-6.589,58.12,97,57,18.16,FO,light rain
17,Nikolskoye,59.7035,30.7861,46.78,94,52,4.79,RU,broken clouds
18,Ushuaia,-54.8,-68.3,38.86,65,20,2.3,AR,few clouds
19,Saint-Gedeon,48.5001,-71.7658,75.11,50,10,2.3,CA,clear sky
20,Bobo Dioulasso,11.1771,-4.2979,73.85,100,20,1.14,BF,few clouds
21,Ilhabela,-23.7781,-45.3581,66.42,84,5,6.31,BR,clear sky
22,Butaritari,3.0707,172.7902,81.72,72,100,14.7,KI,overcast clouds
23,Nome,64.5011,-165.4064,50.16,76,100,9.22,US,overcast clouds
24,Devonport,-41.1667,146.35,54.01,91,99,12.8,AU,overcast clouds
25,Kloulklubed,7.0419,134.2556,75.7,77,99,5.44,PW,overcast clouds
26,Albany,42.6001,-73.9662,69.64,83,97,1.32,US,overcast clouds
27,Arraial Do Cabo,-22.9661,-42.0278,69.76,68,40,26.46,BR,scattered clouds
28,East London,-33.0153,27.9116,63.0,87,21,10.8,ZA,few clouds
29,Yellowknife,62.456,-114.3525,50.52,66,100,17.0,CA,overcast clouds
30,Arona,28.0996,-16.681,69.03,69,20,5.75,ES,few clouds
31,Yatou,37.15,122.3833,64.87,71,0,2.73,CN,clear sky
32,Tuktoyaktuk,69.4541,-133.0374,41.0,93,100,14.97,CA,mist
33,Aksu,41.1231,80.2644,72.63,20,0,2.68,CN,clear sky
34,Atar,20.5169,-13.0499,98.38,17,5,7.52,MR,clear sky
35,Faanui,-16.4833,-151.75,78.22,74,9,21.18,PF,clear sky
36,Pandharpur,17.6667,75.3333,77.85,82,100,5.48,IN,light rain
37,Grindavik,63.8424,-22.4338,52.27,93,75,2.3,IS,broken clouds
38,Bambous Virieux,-20.3428,57.7575,68.25,88,75,3.44,MU,broken clouds
39,Khash,28.2211,61.2158,73.96,18,0,0.43,IR,clear sky
40,Paka,4.6374,103.4368,75.13,94,100,0.0,MY,overcast clouds
41,Narsaq,60.9167,-46.05,50.22,85,33,2.8,GL,scattered clouds
42,Rikitea,-23.1203,-134.9692,72.77,74,6,23.94,PF,clear sky
43,Pauini,-7.7136,-66.9764,92.48,34,73,2.15,BR,broken clouds
44,Isangel,-19.55,169.2667,78.91,83,40,0.0,VU,scattered clouds
45,Punta Arenas,-53.15,-70.9167,41.11,60,100,17.27,CL,overcast clouds
46,Lagoa,39.05,-27.9833,74.7,89,99,19.8,PT,light rain
47,Buala,-8.145,159.5921,82.29,75,49,10.6,SB,light rain
48,Axim,4.8699,-2.2405,74.43,92,1,6.6,GH,clear sky
49,Avarua,-21.2078,-159.775,80.65,69,20,14.97,CK,few clouds
50,Kungurtug,50.5994,97.5228,51.03,45,1,3.2,RU,clear sky
51,Oktyabrskiy,54.4815,53.471,47.05,60,100,6.98,RU,overcast clouds
52,San Jose,37.3394,-121.895,107.58,28,0,10.36,US,clear sky
53,Zhigansk,66.7697,123.3711,43.39,80,96,5.3,RU,overcast clouds
54,Ahipara,-35.1667,173.1667,54.46,69,99,3.0,NZ,overcast clouds
55,Kahama,-3.8333,32.6,67.86,76,99,3.4,TZ,overcast clouds
56,Bredasdorp,-34.5322,20.0403,48.25,94,5,0.54,ZA,clear sky
57,Fairbanks,64.8378,-147.7164,53.6,86,75,1.01,US,broken clouds
58,Hithadhoo,-0.6,73.0833,81.84,71,99,14.9,MV,overcast clouds
59,Geraldton,-28.7667,114.6,50.41,93,84,5.75,AU,broken clouds
60,Tocopilla,-22.092,-70.1979,60.53,68,21,8.14,CL,few clouds
61,Novobiryusinskiy,56.9578,97.7076,55.63,86,94,3.8,RU,overcast clouds
62,Panubigan,7.4281,123.3466,78.37,80,84,1.52,PH,moderate rain
63,Deputatskiy,69.3,139.9,38.68,89,100,7.09,RU,light rain
64,Zhezkazgan,47.8043,67.7144,55.31,33,80,2.08,KZ,broken clouds
65,Genhe,50.7833,121.5167,43.81,91,9,2.51,CN,clear sky
66,Emba,48.8264,58.1442,51.66,44,77,5.3,KZ,broken clouds
67,Khairpur Nathan Shah,27.0936,67.7337,86.94,57,0,5.41,PK,clear sky
68,Longyearbyen,78.2186,15.6401,40.84,93,75,3.44,SJ,broken clouds
69,Hobart,-42.8794,147.3294,48.25,92,75,9.22,AU,broken clouds
70,Puerto Ayora,-0.7393,-90.3518,75.16,95,100,5.01,EC,overcast clouds
71,Victoria,22.2855,114.1577,83.32,83,99,5.01,HK,overcast clouds
72,Hervey Bay,-25.2986,152.8535,65.93,64,15,9.91,AU,few clouds
73,Carbonia,39.1672,8.5222,79.45,86,43,4.81,IT,scattered clouds
74,Kodiak,57.79,-152.4072,51.93,93,100,11.07,US,light rain
75,Inuvik,68.3499,-133.7218,45.61,93,100,3.44,CA,mist
76,Mar Del Plata,-38.0023,-57.5575,69.82,75,0,15.01,AR,clear sky
77,Louth,53.3666,-0.0044,60.67,85,75,6.4,GB,broken clouds
78,Ternate,0.8,127.4,79.21,81,92,2.66,ID,overcast clouds
79,Mugumu,-1.85,34.7,63.3,81,100,3.87,TZ,overcast clouds
80,Bethel,41.3712,-73.414,72.57,75,96,1.99,US,overcast clouds
81,Pemba,-12.974,40.5178,73.56,72,0,11.7,MZ,clear sky
82,Carutapera,-1.195,-46.02,76.77,87,100,6.89,BR,overcast clouds
83,Castro,-24.7911,-50.0119,57.9,94,14,3.27,BR,few clouds
84,Zhuanghe,39.7008,122.9911,63.5,83,0,5.39,CN,clear sky
85,Booue,-0.0921,11.9385,77.88,72,94,4.97,GA,overcast clouds
86,Bull Savanna,17.8868,-77.5902,80.94,74,53,2.42,JM,broken clouds
87,Vila Franca Do Campo,37.7167,-25.4333,73.81,93,70,8.3,PT,broken clouds
88,Luderitz,-26.6481,15.1594,58.28,77,0,9.46,NA,clear sky
89,Fortuna,40.5982,-124.1573,73.65,90,89,6.96,US,overcast clouds
90,Barcelos,41.5388,-8.6151,69.85,94,100,3.94,PT,overcast clouds
91,Esperance,-33.8667,121.9,54.34,66,40,14.32,AU,scattered clouds
92,Ibia,-19.4783,-46.5389,76.46,37,27,6.85,BR,scattered clouds
93,Georgetown,5.4112,100.3354,78.73,93,20,2.3,MY,few clouds
94,Hami,42.8,93.45,76.95,13,4,8.05,CN,clear sky
95,Bluff,-46.6,168.3333,44.8,69,91,2.51,NZ,overcast clouds
96,Sambava,-14.2667,50.1667,66.16,87,17,10.07,MG,few clouds
97,Santa Maria,-29.6842,-53.8069,74.5,43,40,4.61,BR,scattered clouds
98,Basesti,47.4833,23.15,63.93,87,45,5.7,RO,light rain
99,Labuhan,-6.8844,112.2051,76.82,88,60,7.45,ID,broken clouds
100,Natalinsk,56.4739,57.8698,39.07,89,81,4.54,RU,broken clouds
101,Baykit,61.67,96.37,47.14,99,100,5.99,RU,light rain
102,Hilo,19.7297,-155.09,88.29,80,9,5.01,US,clear sky
103,Nouadhibou,20.931,-17.0347,75.18,73,13,19.57,MR,few clouds
104,Dikson,73.5069,80.5464,37.65,87,100,19.26,RU,light rain
105,Sao Felix Do Xingu,-6.6447,-51.995,86.65,34,68,1.81,BR,broken clouds
106,San Patricio,28.017,-97.5169,91.08,45,99,4.68,US,overcast clouds
107,San Pedro,14.35,121.0167,79.83,89,20,1.14,PH,few clouds
108,Novita,4.9551,-76.6053,78.31,94,70,3.44,CO,broken clouds
109,Sorland,67.667,12.6934,49.86,71,51,10.04,NO,broken clouds
110,Flinders,-34.5833,150.8552,63.05,80,98,5.99,AU,overcast clouds
111,Port Alfred,-33.5906,26.891,61.3,89,2,10.87,ZA,clear sky
112,San Carlos De Bariloche,-41.1456,-71.3082,40.01,57,40,17.27,AR,scattered clouds
113,New Norfolk,-42.7826,147.0587,47.91,82,89,1.45,AU,overcast clouds
114,Simao,22.7886,100.9748,61.79,81,77,2.75,CN,broken clouds
115,Jiuquan,39.7432,98.5174,65.61,20,0,1.92,CN,clear sky
116,Talnakh,69.4865,88.3972,30.2,82,10,2.44,RU,clear sky
117,Umea,63.8284,20.2597,31.93,100,0,3.44,SE,clear sky
118,Katsuura,35.1333,140.3,77.02,85,47,14.27,JP,scattered clouds
119,Hamilton,39.1834,-84.5333,80.65,54,60,5.01,US,broken clouds
120,Mangai,-4.05,19.5333,74.48,81,46,1.7,CD,scattered clouds
