,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Atuona,PF,76.8,light rain,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
13,Vaini,TO,78.96,few clouds,-21.2,-175.2,Keleti Beach Resort
15,Catuday,PH,79.77,broken clouds,16.2923,119.8062,Benjie's Kubo & Cottages
19,Saint-Gedeon,CA,75.11,clear sky,48.5001,-71.7658,Camping Plage St-Jude
22,Butaritari,KI,81.72,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
25,Kloulklubed,PW,75.7,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
35,Faanui,PF,78.22,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
36,Pandharpur,IN,77.85,light rain,17.6667,75.3333,Pandharinath Lodge and Restaurant
40,Paka,MY,75.13,overcast clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
44,Isangel,VU,78.91,scattered clouds,-19.55,169.2667,Tanna Lodge
47,Buala,SB,82.29,light rain,-8.145,159.5921,Maringe Lagoon Lodge
49,Avarua,CK,80.65,few clouds,-21.2078,-159.775,Paradise Inn
58,Hithadhoo,MV,81.84,overcast clouds,-0.6,73.0833,Scoop Guest House
62,Panubigan,PH,78.37,moderate rain,7.4281,123.3466,Brent's Garden and Resorts
67,Khairpur Nathan Shah,PK,86.94,clear sky,27.0936,67.7337,Shoukat Hussain Hotal
70,Puerto Ayora,EC,75.16,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
71,Victoria,HK,83.32,overcast clouds,22.2855,114.1577,Mini Central
73,Carbonia,IT,79.45,scattered clouds,39.1672,8.5222,Lu 'Hotel
78,Ternate,ID,79.21,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
82,Carutapera,BR,76.77,overcast clouds,-1.195,-46.02,Lidera
85,Booue,GA,77.88,overcast clouds,-0.0921,11.9385,Splendeur de l'équateur
86,Bull Savanna,JM,80.94,broken clouds,17.8868,-77.5902,Big Red's
92,Ibia,BR,76.46,scattered clouds,-19.4783,-46.5389,Hotel Triângulo
93,Georgetown,MY,78.73,few clouds,5.4112,100.3354,Cititel Penang
