City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,Jamestown,42.097,-79.2353,75.06,46,75,1.01,US,broken clouds
1,Buraydah,26.326,43.975,96.17,9,0,8.25,SA,clear sky
2,Ushuaia,-54.8,-68.3,39.42,80,99,5.95,AR,overcast clouds
3,Puerto Ayora,-0.7393,-90.3518,69.55,90,100,11.01,EC,overcast clouds
4,Mikuni,36.2171,136.1519,73.2,94,99,7.7,JP,overcast clouds
5,Baghdad,33.3406,44.4009,99.45,18,0,12.75,IQ,clear sky
6,Millinocket,45.6573,-68.7098,72.41,64,20,4.61,US,few clouds
7,Atar,20.5169,-13.0499,103.03,21,4,12.01,MR,clear sky
8,Butaritari,3.0707,172.7902,81.63,67,72,14.92,KI,broken clouds
9,Leh,34.1667,77.5833,61.75,46,53,4.74,IN,broken clouds
10,Hermanus,-34.4187,19.2345,55.94,84,0,6.38,ZA,clear sky
11,Rikitea,-23.1203,-134.9692,72.3,72,6,24.92,PF,clear sky
12,Mataura,-46.1927,168.8643,34.47,97,35,1.43,NZ,scattered clouds
13,Bredasdorp,-34.5322,20.0403,50.81,89,0,3.11,ZA,clear sky
14,Kieta,-6.2167,155.6333,77.63,85,100,4.38,PG,overcast clouds
15,Punta Arenas,-53.15,-70.9167,41.11,70,75,26.46,CL,broken clouds
16,Albany,42.6001,-73.9662,76.59,68,19,5.14,US,few clouds
17,Lebu,-37.6167,-73.65,49.24,65,22,6.93,CL,few clouds
18,Ust-Kuyga,70.0167,135.6,39.58,92,100,2.84,RU,overcast clouds
19,Kavieng,-2.5744,150.7967,81.7,73,83,14.97,PG,broken clouds
20,Jalu,29.0331,21.5482,83.46,27,0,8.08,LY,clear sky
21,Gizo,-8.103,156.8419,81.23,77,44,6.82,SB,scattered clouds
22,Svetlogorsk,52.6333,29.7333,46.78,57,6,7.9,BY,clear sky
23,Leningradskiy,69.3833,178.4167,36.75,66,4,8.08,RU,clear sky
24,Shar,49.5886,81.0453,59.07,31,99,11.92,KZ,overcast clouds
25,Ormara,25.2088,64.6357,80.67,83,0,10.98,PK,clear sky
26,Marang,5.2056,103.2059,78.69,82,93,2.57,MY,overcast clouds
27,Koumac,-20.5667,164.2833,71.37,86,100,3.27,NC,overcast clouds
28,Carnarvon,-24.8667,113.6333,66.13,57,80,7.78,AU,broken clouds
29,Barrow,71.2906,-156.7887,32.02,93,100,12.66,US,mist
30,Merauke,-8.4667,140.3333,76.32,93,81,10.33,ID,broken clouds
31,Tiksi,71.6872,128.8694,39.27,88,20,6.71,RU,few clouds
32,Dikson,73.5069,80.5464,37.31,98,100,16.04,RU,light rain
33,Rawson,-43.3002,-65.1023,44.04,69,95,7.94,AR,overcast clouds
34,Torbay,47.6666,-52.7314,59.27,74,82,15.99,CA,broken clouds
35,Ko Samui,9.5357,99.9357,82.15,74,100,10.42,TH,light rain
36,Tuatapere,-46.1333,167.6833,36.12,92,21,4.21,NZ,few clouds
37,Yuli,9.6989,10.2744,78.04,83,90,7.16,NG,overcast clouds
