City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Tuktoyaktuk,69.4541,-133.0374,41.0,93,100,29.93,CA,2022-09-05 17:28:06
1,Atuona,-9.8,-139.0333,76.46,68,32,23.24,PF,2022-09-05 17:28:06
2,Hobart,-42.8794,147.3294,44.46,91,100,10.36,AU,2022-09-05 17:27:34
3,Hithadhoo,-0.6,73.0833,81.97,72,97,15.9,MV,2022-09-05 17:28:07
4,Katsuura,35.1333,140.3,78.69,83,19,5.7,JP,2022-09-05 17:28:07
5,Wanning,18.8003,110.3967,78.94,76,43,3.13,CN,2022-09-05 17:28:07
6,Luderitz,-26.6481,15.1594,61.25,54,0,28.16,NA,2022-09-05 17:28:08
7,Severobaykalsk,55.65,109.3167,46.47,86,100,2.08,RU,2022-09-05 17:28:08
8,Chany,55.3121,76.7647,52.11,67,100,9.01,RU,2022-09-05 17:28:08
9,Young,-32.6833,-57.6333,65.28,46,0,5.23,UY,2022-09-05 17:28:08
10,Codrington,-38.2667,141.9667,40.93,92,92,7.94,AU,2022-09-05 17:28:09
11,Zhezkazgan,47.8043,67.7144,84.54,17,77,8.08,KZ,2022-09-05 17:28:09
12,Barrow,71.2906,-156.7887,35.62,100,100,3.44,US,2022-09-05 17:28:09
13,Brownsville,25.9018,-97.4975,78.98,92,75,8.05,US,2022-09-05 17:28:00
14,Qaanaaq,77.484,-69.3632,43.36,93,100,9.98,GL,2022-09-05 17:28:09
15,Iqaluit,63.7506,-68.5145,44.33,56,75,4.61,CA,2022-09-05 17:28:10
16,Avarua,-21.2078,-159.775,73.45,83,75,5.75,CK,2022-09-05 17:28:10
17,Busselton,-33.65,115.3333,48.33,82,75,0.98,AU,2022-09-05 17:28:10
18,Minab,27.1467,57.0801,91.72,43,0,4.61,IR,2022-09-05 17:28:11
19,Suntar,62.1444,117.6319,44.47,91,99,7.02,RU,2022-09-05 17:28:11
20,Maragogi,-9.0122,-35.2225,78.49,74,34,15.14,BR,2022-09-05 17:28:11
21,Sarkand,45.41,79.9186,71.87,24,0,8.21,KZ,2022-09-05 17:28:11
22,Antigonish,45.6169,-61.9986,70.95,72,100,5.01,CA,2022-09-05 17:24:51
23,Castro,-24.7911,-50.0119,64.35,57,83,5.39,BR,2022-09-05 17:28:12
24,East London,-33.0153,27.9116,58.14,72,0,13.8,ZA,2022-09-05 17:28:12
25,Saint-Augustin,51.226,-58.6502,58.48,60,97,11.1,CA,2022-09-05 17:28:12
26,Sorland,67.667,12.6934,51.66,74,82,7.29,NO,2022-09-05 17:28:12
27,Madisonville,37.3281,-87.4989,82.26,79,100,3.53,US,2022-09-05 17:27:44
28,Teknaf,20.8624,92.3058,82.11,83,94,3.74,BD,2022-09-05 17:28:13
29,Ushuaia,-54.8,-68.3,44.22,61,40,18.41,AR,2022-09-05 17:28:13
30,Mataura,-46.1927,168.8643,25.11,97,89,2.39,NZ,2022-09-05 17:28:13
31,Dunyapur,29.7995,71.7196,87.6,44,0,6.08,PK,2022-09-05 17:28:14
32,Agadez,19.75,10.25,100.96,12,0,5.77,NE,2022-09-05 17:28:14
33,Phuket,8.0,98.25,86.09,78,40,8.05,TH,2022-09-05 17:25:52
34,Sisimiut,66.9395,-53.6735,42.19,79,70,32.17,GL,2022-09-05 17:28:14
35,Bengkulu,-3.8004,102.2655,77.05,85,100,3.13,ID,2022-09-05 17:28:15
36,Carnarvon,-24.8667,113.6333,63.81,57,88,16.22,AU,2022-09-05 17:28:15
37,Lugovoy,42.9472,72.7644,74.59,21,0,3.58,KZ,2022-09-05 17:28:15
38,Usinsk,65.9939,57.5281,43.36,93,100,11.83,RU,2022-09-05 17:28:15
39,Ostrovnoy,68.0531,39.5131,45.27,91,100,21.9,RU,2022-09-05 17:28:16
40,Scarborough,54.2797,-0.4044,74.91,63,97,7.0,GB,2022-09-05 17:27:27
41,Lakes Entrance,-37.8811,147.981,37.17,89,19,4.09,AU,2022-09-05 17:28:16
42,Lubango,-14.9172,13.4925,73.26,35,75,4.61,AO,2022-09-05 17:28:16
43,Punta Arenas,-53.15,-70.9167,42.91,70,0,23.02,CL,2022-09-05 17:27:31
44,Prince Rupert,54.3161,-130.3201,55.49,84,100,12.66,CA,2022-09-05 17:26:15
45,Kapaa,22.0752,-159.319,76.1,91,13,10.67,US,2022-09-05 17:29:17
46,Male,4.1748,73.5089,80.55,89,75,17.27,MV,2022-09-05 17:29:17
47,Inta,66.0317,60.1659,42.12,92,100,16.53,RU,2022-09-05 17:29:17
48,Talnakh,69.4865,88.3972,43.21,96,100,7.36,RU,2022-09-05 17:29:17
49,Puerto Ayora,-0.7393,-90.3518,76.96,88,99,8.01,EC,2022-09-05 17:29:18
50,Mahebourg,-20.4081,57.7,70.09,83,40,12.66,MU,2022-09-05 17:29:18
51,Tammisaari,59.9736,23.4339,49.89,72,5,7.27,FI,2022-09-05 17:29:18
52,Port Elizabeth,-33.918,25.5701,60.1,66,0,23.02,ZA,2022-09-05 17:29:19
53,Chokurdakh,70.6333,147.9167,40.28,70,99,11.65,RU,2022-09-05 17:29:19
54,Saldanha,-33.0117,17.9442,57.25,69,12,10.11,ZA,2022-09-05 17:29:19
55,San Quintin,30.4833,-115.95,77.29,78,70,8.59,MX,2022-09-05 17:29:19
56,Torbay,47.6666,-52.7314,69.89,82,100,4.61,CA,2022-09-05 17:29:20
57,Narsaq,60.9167,-46.05,55.62,81,98,3.78,GL,2022-09-05 17:29:20
58,Mar Del Plata,-38.0023,-57.5575,77.02,67,0,13.0,AR,2022-09-05 17:29:20
59,Vaini,-21.2,-175.2,64.56,100,20,1.14,TO,2022-09-05 17:29:21
60,Rio Gallegos,-51.6226,-69.2181,53.65,47,75,21.85,AR,2022-09-05 17:29:21
61,Komsomolskiy,40.4272,71.7189,75.92,35,2,6.91,UZ,2022-09-05 17:29:21
62,Butaritari,3.0707,172.7902,81.18,80,95,14.56,KI,2022-09-05 17:29:21
63,Areosa,41.7178,-8.8571,68.32,79,25,10.54,PT,2022-09-05 17:29:22
64,Albany,42.6001,-73.9662,65.37,91,100,1.92,US,2022-09-05 17:28:57
65,Samarai,-10.6167,150.6667,80.13,81,16,8.32,PG,2022-09-05 17:29:22
66,Puerto Leguizamo,-0.1934,-74.7819,79.9,68,99,3.47,CO,2022-09-05 17:29:22
67,Provideniya,64.3833,-173.3,45.0,97,96,3.38,RU,2022-09-05 17:29:22
68,Chapais,49.7834,-74.8492,62.38,33,49,3.8,CA,2022-09-05 17:29:23
69,Cape Town,-33.9258,18.4232,56.26,66,75,8.05,ZA,2022-09-05 17:27:03
70,La Ronge,55.1001,-105.2842,75.42,56,20,5.75,CA,2022-09-05 17:29:23
71,Upernavik,72.7868,-56.1549,43.41,94,100,27.87,GL,2022-09-05 17:29:23
72,Constitucion,-35.3333,-72.4167,63.86,56,97,5.66,CL,2022-09-05 17:29:24
73,Port Hardy,50.6996,-127.4199,55.58,94,75,8.05,CA,2022-09-05 17:29:24
74,Rikitea,-23.1203,-134.9692,72.64,64,100,19.66,PF,2022-09-05 17:29:24
